City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,charters towers,-20.1,146.2667,21.38,52,6,5.33,AU,1712609337
293,namsos,64.4662,11.4957,6.03,87,0,2.57,NO,1712609226
294,hermanus,-34.4187,19.2345,15.45,89,100,6.01,ZA,1712609338
295,sakaraha,-22.9,44.5333,20.74,81,42,0.05,MG,1712609338
296,morehead city,34.7229,-76.726,20.01,64,0,5.66,US,1712609312
297,masterton,-40.9597,175.6575,17.28,67,4,2.73,NZ,1712609061
298,nahiyat ash shinafiyah,31.5874,44.6602,25.95,40,0,6.22,IQ,1712609338
299,doctor juan leon mallorquin,-25.4,-55.2667,29.85,61,93,0.59,PY,1712609339
300,fort-shevchenko,44.5086,50.263,11.63,58,14,3.29,KZ,1712609339
301,kavaratti,10.5669,72.642,29.24,62,2,0.87,IN,1712609339
302,east ballina,-28.8667,153.5833,19.33,91,33,3.41,AU,1712609339
303,nantucket,41.2835,-70.0995,13.38,57,0,5.14,US,1712609339
304,nadi,-17.8,177.4167,26.0,83,75,1.03,FJ,1712609226
305,san pedro pochutla,15.7333,-96.4667,32.95,42,5,4.39,MX,1712609276
306,pozzallo,36.7305,14.8499,16.36,87,25,4.26,IT,1712609340
307,kiunga,-6.1219,141.2906,23.84,100,100,1.26,PG,1712609340
308,gumdag,39.2061,54.5906,15.94,69,100,1.93,TM,1712609340
309,happy valley-goose bay,53.3168,-60.3315,-0.83,93,100,4.63,CA,1712609340
310,xilin hot,43.9667,116.0333,2.83,43,100,2.75,CN,1712609340
311,kangding,30.0513,101.9603,5.79,99,97,1.5,CN,1712609341
312,balabac,7.9868,117.0645,27.09,77,48,4.69,PH,1712609341
313,umluj,25.0213,37.2685,23.82,42,0,1.66,SA,1712609341
314,asau,46.4333,26.4,13.94,59,100,2.07,RO,1712609341
315,vadso,70.0744,29.7487,-1.91,86,75,5.14,NO,1712609341
316,cooper's town,26.8667,-77.5167,21.44,62,49,7.72,BS,1712609342
317,bathurst,-33.4166,149.5806,8.87,98,100,0.63,AU,1712609126
318,guiuan,11.0333,125.7247,27.36,82,6,5.36,PH,1712609342
319,kabo,7.6994,18.629,27.28,41,7,2.26,CF,1712609342
320,smithers,54.7804,-127.1743,6.18,70,100,2.57,CA,1712609342
321,mikuni,36.2171,136.1519,11.95,94,100,14.63,JP,1712609343
322,lewistown,40.5992,-77.5714,18.78,67,75,0.0,US,1712609343
323,thinadhoo,0.5333,72.9333,28.94,72,93,1.72,MV,1712609343
324,constantia,44.1833,28.65,12.61,69,3,2.58,RO,1712608822
325,khowai,24.1,91.6333,24.09,62,100,1.1,IN,1712609343
326,rabak,13.1809,32.74,29.28,10,33,4.66,SD,1712609344
327,lascano,-33.6667,-54.2,21.07,85,56,3.61,UY,1712609344
328,korla,41.7597,86.1469,12.29,42,0,0.27,CN,1712609344
329,klaksvik,62.2266,-6.589,6.51,91,100,6.38,FO,1712609344
330,shahr-e babak,30.1165,55.1186,17.69,40,100,0.77,IR,1712609344
331,summerside,46.3959,-63.7876,10.94,57,29,3.6,CA,1712609345
332,kilindoni,-7.9139,39.6668,26.99,81,98,3.18,TZ,1712609345
333,mayya,61.7333,130.2811,-6.38,95,100,1.48,RU,1712609345
334,kovylkino,54.0388,43.9139,11.23,81,98,3.43,RU,1712609345
335,essaouira,31.5125,-9.77,19.72,68,0,7.72,MA,1712609345
336,huayin,34.5675,110.0921,16.97,55,100,4.79,CN,1712609346
337,caleta de carquin,-11.0925,-77.6267,23.77,78,60,4.2,PE,1712609346
338,poronaysk,49.2167,143.1167,-0.38,87,61,3.68,RU,1712609346
339,wuyang,31.9925,116.2472,10.82,92,100,2.16,CN,1712609346
340,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.33,PT,1712609346
341,ismailia,30.6043,32.2723,17.77,55,35,2.42,EG,1712609347
342,kolonia,50.9333,6.95,19.9,65,0,1.54,DE,1712609052
343,bardai,11.65,7.2333,30.05,11,100,3.54,NG,1712609347
344,moengo,5.6167,-54.4,29.13,59,79,2.76,SR,1712609347
345,corumba,-19.0092,-57.6533,31.84,79,20,2.06,BR,1712609347
346,pemagatshel,27.038,91.4031,14.27,62,0,2.5,BT,1712609347
347,kingscliff,-28.2667,153.5667,22.65,88,100,2.57,AU,1712608846
348,sirdaryo,40.8436,68.6617,15.84,61,100,3.41,UZ,1712609348
349,sur,22.5667,59.5289,27.48,60,18,4.85,OM,1712609348
350,mo i rana,66.3128,14.1428,3.51,95,75,0.0,NO,1712609244
351,haiku-pauwela,20.9219,-156.3051,26.25,62,20,7.72,US,1712609348
352,whiteville,34.3388,-78.7031,23.08,46,0,4.63,US,1712609187
353,medicine hat,50.0501,-110.6683,12.9,36,20,6.17,CA,1712609082
354,san buenaventura,27.0833,-101.5333,31.15,20,100,4.32,MX,1712609123
355,amursk,50.2261,136.8994,1.1,95,100,2.41,RU,1712609349
356,illizi,26.4833,8.4667,28.34,8,96,5.49,DZ,1712609349
357,cumra,37.5732,32.7745,7.08,83,75,1.9,TR,1712609350
358,luau,-10.7073,22.2247,19.21,96,71,1.36,AO,1712609350
